provinsi	curah-hujan	hari-hujan	kota-m	kota-n	desa-m	desa-n	pengangguran
Aceh	1575	146	466355	529945	395136	260183	9.93
Sumatera Utara	975.9	105	416073	453609	413087	269407	6.71
Sumatera Barat	3548	185	509609	578890	447944	319143	6.89
Riau	2048.3	140	530836	661673	472756	413929	7.83
Jambi	1694.9	135	464204	556527	412871	349329	4.34
Sumatera Selatan	1947.2	138	418794	514708	358391	260923	6.07
Bengkulu	2668.9	166	434462	555949	403723	326656	4.91
Lampung	1628.1	151	447587	538560	359111	294748	5.14
Kepulauan Bangka Belitung	1534.7	163	606905	613072	551553	467700	6.29
Kepulauan Riau	2250.9	174	625859	809066	480875	404211	6.2
DKI Jakarta	2169.5	121	615486	1157945	-	-	7.23
Jawa Barat	2199.3	177	448748	566242	378794	274900	8.72
Jawa Tengah	1620.7	140	350517	468198	313724	277509	4.99
DI Yogyakarta	2045.5	119	385061	697510	325188	297594	4.07
Jawa Timur	2024.7	133	427218	604896	338325	306017	4.47
Banten	1310.1	155	526737	677002	392046	272081	9.55
Bali	1133.8	124	441921	737657	389091	441381	1.99
Nusa Tenggara Barat	1147.9	91	373402	381980	341583	263291	5.69
Nusa Tenggara Timur	1406	82	401053	473374	272347	176028	3.83
Kalimantan Barat	2757.7	215	473082	526121	405835	282118	5.15
Kalimantan Tengah	2748.4	155	506106	549096	489011	361909	4.54
Kalimantan Selatan	2509.6	166	510837	670407	440745	349861	4.92
Kalimantan Timur	2069.4	186	580661	736387	496104	487665	7.5
Kalimantan Utara	2311.5	202	536894	623024	478792	419632	5.68
Sulawesi Utara	1807	127	459988	519694	398016	288894	9.03
Sulawesi Tengah	460.9	68	429317	629817	368439	293645	4.1
Sulawesi Selatan	3382	155	436956	575266	312799	275628	5.95
Sulawesi Tenggara	1589.6	141	385082	520583	306600	272945	5.55
Gorontalo	870.6	76	400853	541711	287010	234180	4.65
Sulawesi Barat	1167.9	93	367632	369746	321635	263154	3.35
Maluku	1987.2	167	486374	511825	378946	285648	9.93
Maluku Utara	913.4	127	465188	510105	404776	315800	6.05
Papua Barat	2844.6	218	593203	676879	463880	420440	8.08
Papua	1265.9	168	666922	739704	403652	218261	3.99
