No,Lokasi_Pengamatan,Sungai_Kali,Tinggi_Air,Perubahan,Tanggal,Jam,Status
1,Bendung. Cibalok - Gadog,Ciliwung,11,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-normal.png
2,Bendung. Katulampa (Hulu),Ciliwung,46,images/icon/down.png,2022-03-29,21:20,images/icon/icon-normal.png
3,PS. Depok,Ciliwung,112,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-normal.png
4,PA. Manggarai,Ciliwung,634,images/icon/down.png,2022-03-29,21:30,images/icon/icon-normal.png
5,PS. Krukut Hulu,Krukut,44,images/icon/up.png,2022-03-29,21:40,images/icon/icon-normal.png
6,Pompa Cideng,Cideng Siantar,17,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-normal.png
7,P.A. Karet,Banjir Kanal Barat,313,images/icon/up.png,2022-03-29,21:30,images/icon/icon-normal.png
8,P.A. Marina Ancol ,Laut,211,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-siaga2.gif
9,Pompa Pasar Ikan,Laut,217,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-siaga2.gif
10,Pompa. Pluit,Waduk Pluit,-188,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-normal.png
11,PS. Pesanggrahan,Pesanggrahan,59,images/icon/down.png,2022-03-29,21:20,images/icon/icon-normal.png
12,PS. Angke Hulu,Angke,142,images/icon/normal.png,2022-03-29,21:20,images/icon/icon-normal.png
13,PS. Sunter Hulu,Sunter,101,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-normal.png
14,PA. Pulo Gadung,Sunter,330,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-normal.png
15,Pompa Yos Sudarso 1,Sunter Timur,110,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-normal.png
16,PS. Cipinang Hulu,Cipinang Hulu,102,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-normal.png
17,Pompa Kali Duri (Kalijodo),Kali Duri,195,images/icon/up.png,2022-03-29,21:30,images/icon/icon-normal.png
18,P.A. Istiqlal  ,Ciliwung,116,images/icon/up.png,2022-03-29,21:30,images/icon/icon-normal.png
19,P.A. Jembatan Merah,Ciliwung,88,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-normal.png
20,P.A. Flusing Ancol,Ciliwung,165,images/icon/normal.png,2022-03-29,21:30,images/icon/icon-normal.png
21,P.A. Hek,Kali Baru Timur,167,images/icon/normal.png,2022-03-29,21:20,images/icon/icon-normal.png
