62811	KartuHALO	Telkomsel
62812	simPATI, KartuHALO	Telkomsel
62813	simPATI, KartuHALO	Telkomsel
62814	Indosat 3,5G Broadband	Indosat (IndosatM2)
62815	Mentari, Matrix	Indosat
62816	Mentari, Matrix	Indosat
62817	XL Prabayar, XL Pascabayar	XL Axiata
62818	XL Prabayar, XL Pascabayar	XL Axiata
62819	XL Prabayar, XL Pascabayar	XL Axiata
62821	simPATI Freedom	Telkomsel
62822	simPATI, Kartu Facebook, KartuAS	Telkomsel
62823	Kartu AS[1]	Telkomsel
62828	Ceria	Sampoerna Telekom
62831	AXIS	AXIS Telekom Indonesia
62833	idTelecom	ID Telecom
62838	AXIS	AXIS Telekom Indonesia
62851	Telkom Flexi	Telkomsel
62852	Kartu AS	Telkomsel
62853	Kartu AS, Kartu Prima	Telkomsel
62855	Matrix Auto	Indosat
62856	IM3, Mentari	Indosat
62857	IM3, Mentari	Indosat
62858	Mentari	Indosat
62859	XL Prabayar, XL Pascabayar	XL Axiata
62868	ByRU	PSN/ACeS
62877	XL Prabayar, Hauraa	XL Axiata
62878	XL Prabayar	XL Axiata
62879	XL Prabayar	XL Axiata
62881	smartfren	Smartfren Telecom
62882	smartfren	Smartfren Telecom
62883	Smartfren	Smartfren Telecom
62884	Smartfren	Smartfren Telecom
62887	smartfren	Smartfren Telecom
62888	smartfren	Smartfren Telecom
62889	smartfren	Smartfren Telecom
62896	3	Hutchison Charoen Pokphand Telecom
62897	3	Hutchison Charoen Pokphand Telecom
62898	3	Hutchison Charoen Pokphand Telecom
62899	3	Hutchison Charoen Pokphand Telecom
